room,date,area,event_min,max_min,year,month,day
A,4/8/10 0:00,988,0,1080,2010,April,8
A,4/9/10 0:00,988,360,1080,2010,April,9
A,4/10/10 0:00,988,0,1080,2010,April,10
A,4/11/10 0:00,988,0,1080,2010,April,11
A,4/12/10 0:00,988,420,1080,2010,April,12
A,4/13/10 0:00,988,240,1080,2010,April,13
A,4/14/10 0:00,988,540,1080,2010,April,14
A,4/15/10 0:00,988,0,1080,2010,April,15
A,4/16/10 0:00,988,0,1080,2010,April,16
A,4/17/10 0:00,988,0,1080,2010,April,17
A,4/18/10 0:00,988,0,1080,2010,April,18
A,4/19/10 0:00,988,0,1080,2010,April,19
A,4/20/10 0:00,988,720,1080,2010,April,20
A,4/21/10 0:00,988,720,1080,2010,April,21
A,4/22/10 0:00,988,855,1080,2010,April,22
A,4/23/10 0:00,988,840,1080,2010,April,23
A,4/24/10 0:00,988,60,1080,2010,April,24
A,4/25/10 0:00,988,0,1080,2010,April,25
A,4/26/10 0:00,988,240,1080,2010,April,26
A,4/27/10 0:00,988,135,1080,2010,April,27
A,4/28/10 0:00,988,870,1080,2010,April,28
A,4/29/10 0:00,988,240,1080,2010,April,29
A,4/30/10 0:00,988,240,1080,2010,April,30
A,5/1/10 0:00,988,0,1080,2010,May,1
A,5/2/10 0:00,988,0,1080,2010,May,2
A,5/3/10 0:00,988,600,1080,2010,May,3
A,5/4/10 0:00,988,60,1080,2010,May,4
A,5/5/10 0:00,988,345,1080,2010,May,5
A,5/6/10 0:00,988,480,1080,2010,May,6
A,5/7/10 0:00,988,120,1080,2010,May,7
A,5/8/10 0:00,988,0,1080,2010,May,8
A,5/9/10 0:00,988,0,1080,2010,May,9
A,5/10/10 0:00,988,120,1080,2010,May,10
A,5/11/10 0:00,988,180,1080,2010,May,11
A,5/12/10 0:00,988,180,1080,2010,May,12
A,5/13/10 0:00,988,1109,1080,2010,May,13
A,5/14/10 0:00,988,375,1080,2010,May,14
A,5/15/10 0:00,988,930,1080,2010,May,15
A,5/16/10 0:00,988,0,1080,2010,May,16
A,5/17/10 0:00,988,0,1080,2010,May,17
A,5/18/10 0:00,988,1019,1080,2010,May,18
A,5/19/10 0:00,988,1019,1080,2010,May,19
A,5/20/10 0:00,988,0,1080,2010,May,20
A,5/21/10 0:00,988,585,1080,2010,May,21
A,5/22/10 0:00,988,0,1080,2010,May,22
A,5/23/10 0:00,988,630,1080,2010,May,23
A,5/24/10 0:00,988,690,1080,2010,May,24
A,5/25/10 0:00,988,690,1080,2010,May,25
A,5/26/10 0:00,988,0,1080,2010,May,26
A,5/27/10 0:00,988,0,1080,2010,May,27
A,5/28/10 0:00,988,0,1080,2010,May,28
A,5/29/10 0:00,988,0,1080,2010,May,29
A,5/30/10 0:00,988,0,1080,2010,May,30
A,5/31/10 0:00,988,0,1080,2010,May,31
A,6/1/10 0:00,988,60,1080,2010,June,1
A,6/2/10 0:00,988,0,1080,2010,June,2
A,6/3/10 0:00,988,555,1080,2010,June,3
A,6/4/10 0:00,988,375,1080,2010,June,4
A,6/5/10 0:00,988,0,1080,2010,June,5
A,6/6/10 0:00,988,0,1080,2010,June,6
A,6/7/10 0:00,988,0,1080,2010,June,7
A,6/8/10 0:00,988,719,1080,2010,June,8
A,6/9/10 0:00,988,210,1080,2010,June,9
A,6/10/10 0:00,988,1859,1080,2010,June,10
A,6/11/10 0:00,988,1260,1080,2010,June,11
A,6/12/10 0:00,988,899,1080,2010,June,12
A,6/13/10 0:00,988,0,1080,2010,June,13
A,6/14/10 0:00,988,0,1080,2010,June,14
A,6/15/10 0:00,988,0,1080,2010,June,15
